Sl.No,Districts,No. of Instutition,Sanction strength,No.of Inmates
1,Bagalkot,6,225,91
2,Ballari,11,550,167
3,Belagavi,32,1700,625
4,Bengaluru Rural,20,960,681
5,Bengaluru Central,12,400,250
6,Bengaluru North,46,1711,997
7,Bengaluru South,44,1861,802
8,Bengaluru East,42,1881,674
9,Bengaluru West,13,610,348
10,Bidar,18,820,13
11,Chamarajanagara,27,1240,653
12,Chikballapur,9,210,121
13,Chikkamagaluru,9,360,153
14,Chitradurga,5,155,48
15,Dakshin Kannada,81,6065,2446
16,Davangere,14,375,26
17,Dharwad,25,1570,199
18,Gadag,16,1684,13
19,Hassan,23,1140,61
20,Haveri,6,265,64
21,Kalaburagi,4,300,145
22,Kodagu,11,510,32
23,Kolar,24,965,302
24,Koppal,9,760,101
25,Mandya,16,3355,1067
26,Mysuru,37,1370,439
27,Raichuru,33,1500,50
28,Ramanagara,12,740,126
29,Shivamogga,17,420,151
30,Tumakuru,18,1243,673
31,Udupi,25,1565,764
32,Uttara Kannada,35,1865,1126
33,Vijayapura,5,325,75
34,Yadgir,1,30,0
35,Vijayanagar,14,665,132
